fighter_name,career_SLpM,career_StrAcc,career_SApM,career_StrDef,career_TD_Avg,career_TD_Acc,career_TD_Def,career_Sub_Avg,fighter_url
Stephan Bonnar,2.76,38%,3.01,52%,1.32,40%,60%,1.0,http://www.ufcstats.com/fighter-details/c6a33ff198aaaeeb
Peter Petties,2.61,29%,8.24,48%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/7ea5d60d2e6a8ad0
Jess Bouscal,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/38b1417ec17072da
Amador Ramirez,4.93,51%,2.07,69%,1.00,33%,0%,0.0,http://www.ufcstats.com/fighter-details/ac31f869959860bc
Dominik Humburger,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/e4cbc82c36e47299
Aaron Rosa,4.03,47%,4.41,45%,0.36,33%,85%,0.4,http://www.ufcstats.com/fighter-details/11f8860028b68fcf
George Sotiropoulos,2.61,27%,2.52,67%,2.32,31%,53%,1.6,http://www.ufcstats.com/fighter-details/896c322f56b8be5a
Chris Birchler,9.35,46%,14.83,35%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/8a22c6b4d29880a3
Henry Martinez,2.79,25%,4.01,60%,0.00,0%,80%,0.0,http://www.ufcstats.com/fighter-details/76729a829623e266
Estevan Payan,4.25,42%,3.58,57%,0.36,100%,60%,0.4,http://www.ufcstats.com/fighter-details/d0a5ef38a7778ac2
Ikram Aliskerov,7.03,60%,7.27,36%,1.82,33%,0%,1.8,http://www.ufcstats.com/fighter-details/b07aed698fba8624
Ryan Janes,7.69,48%,5.53,59%,0.35,100%,58%,0.0,http://www.ufcstats.com/fighter-details/b59037262c8fe060
Dave Jansen,2.94,33%,3.67,58%,2.79,28%,38%,0.9,http://www.ufcstats.com/fighter-details/335ad945324c3a2e
Askar Mozharov,0.43,18%,4.07,13%,0.00,0%,33%,0.0,http://www.ufcstats.com/fighter-details/e92901944ce91909
John Phillips,1.72,34%,4.03,49%,0.00,0%,7%,0.0,http://www.ufcstats.com/fighter-details/e9ac7bfb65c25497
Frank Megallon,1.14,21%,5.32,54%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/c0a93b52096b7682
Kevin Holland,4.22,49%,3.22,50%,0.82,38%,53%,0.6,http://www.ufcstats.com/fighter-details/3a46b268013afede
Gan McGee,2.20,29%,2.31,59%,0.65,25%,83%,0.0,http://www.ufcstats.com/fighter-details/d90b630e0561818b
Roman Mitichyan,0.26,16%,2.70,43%,1.93,100%,25%,1.9,http://www.ufcstats.com/fighter-details/2961be02cfb0d2c1
Gabriel Bonfim,5.78,42%,4.38,62%,2.92,75%,73%,1.9,http://www.ufcstats.com/fighter-details/01641ba5df0c69b0
Luke Hartwig,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/34f3869747bf8fa9
Charon Spain,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/c278e8843b8abfec
Roan Carneiro,1.46,46%,1.82,62%,3.05,42%,83%,1.4,http://www.ufcstats.com/fighter-details/1c86754617d9813a
Katsuaki Furuki,0.27,10%,2.67,39%,0.00,0%,0%,3.0,http://www.ufcstats.com/fighter-details/c3e2eca94b2320bc
Andy Anderson,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/9199e0735b83dd32
Victor Altamirano,4.58,53%,3.82,53%,2.88,38%,63%,0.0,http://www.ufcstats.com/fighter-details/dc7927cd622676a7
Liang Na,1.99,42%,3.95,36%,3.60,58%,25%,0.5,http://www.ufcstats.com/fighter-details/ec0dcceace7d25a3
Justin McElfresh,4.59,26%,12.79,41%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/49c29e57d4e2be6f
Shayna Baszler,2.49,30%,6.36,51%,0.67,18%,44%,1.3,http://www.ufcstats.com/fighter-details/8ef4a91ac694b7ce
Rubens Xavier,0.77,42%,1.82,21%,2.10,40%,25%,1.1,http://www.ufcstats.com/fighter-details/e6dac752a2418a88
Everett Sims,0.81,66%,2.19,30%,0.00,0%,42%,1.2,http://www.ufcstats.com/fighter-details/59c6d5af765df641
Drako Rodriguez,3.37,36%,4.40,58%,2.93,66%,75%,0.7,http://www.ufcstats.com/fighter-details/dc3b9cf7641b7ab6
Travis Calanoc,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/90d28fee0af74f2d
Jose Aldo,3.62,46%,3.72,60%,0.49,53%,92%,0.1,http://www.ufcstats.com/fighter-details/d0f3959b4a9747e6
Darrel Gholar,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/a24e080000fa7a35
Tim Boetsch,2.93,50%,2.90,57%,1.45,34%,59%,0.8,http://www.ufcstats.com/fighter-details/c80095f6092271a7
Milco Voorn,0.00,0%,0.00,100%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/277ffed20cf07aea
Ismael Bonfim,5.80,54%,3.16,70%,1.07,33%,76%,0.0,http://www.ufcstats.com/fighter-details/eb393afdbe3293d5
Rodolfo Rubio Perez,1.13,36%,1.00,62%,2.00,33%,33%,0.0,http://www.ufcstats.com/fighter-details/c4731f43693b96b8
Dayana Silva,6.33,51%,5.93,57%,0.00,0%,42%,0.0,http://www.ufcstats.com/fighter-details/b19aecbfbb5508cc
Nick Hein,2.65,35%,3.61,59%,0.86,33%,83%,0.0,http://www.ufcstats.com/fighter-details/2816ced060a21be3
Jason Miller,1.83,43%,2.30,49%,1.31,28%,43%,1.3,http://www.ufcstats.com/fighter-details/b2f88c04c4dd43ce
Javier Vazquez,2.43,36%,1.99,72%,2.56,52%,57%,1.5,http://www.ufcstats.com/fighter-details/be5cfd73617a5b1a
Alejandro Villalobos,3.93,46%,4.07,67%,1.00,50%,0%,0.0,http://www.ufcstats.com/fighter-details/2e88f2030d8a928a
Chris de la Rocha,4.08,45%,6.37,43%,2.02,30%,33%,1.0,http://www.ufcstats.com/fighter-details/e51ee8ded927fc51
Andre Soukhamthath,2.77,44%,4.31,49%,1.25,53%,58%,0.2,http://www.ufcstats.com/fighter-details/d0e50a3d1b250708
Andre Roberts,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/a54a35a670d8e852
Cam Rowston,2.13,49%,1.87,47%,0.00,0%,28%,1.0,http://www.ufcstats.com/fighter-details/8ebc3a8da015d70c
Erik Apple,0.00,0%,0.54,81%,0.00,0%,0%,8.1,http://www.ufcstats.com/fighter-details/1ccff7f0cfdf85eb
Matt Dwyer,2.57,34%,3.24,54%,0.44,10%,60%,0.0,http://www.ufcstats.com/fighter-details/8f0d576beba1cfcd
Nick Gibbons,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/96a221341035b701
Aaron Riley,3.45,34%,3.78,61%,1.18,34%,60%,0.1,http://www.ufcstats.com/fighter-details/f2c8ebbeafd45f2b
Dante Rivera,2.27,53%,4.00,25%,0.00,0%,16%,0.0,http://www.ufcstats.com/fighter-details/288aaa8f82040e02
Maciej Jewtuszko,2.29,45%,1.39,66%,0.00,0%,42%,0.9,http://www.ufcstats.com/fighter-details/6b5b9be990774f0e
Mike Grundy,2.09,45%,4.45,56%,4.06,28%,50%,0.4,http://www.ufcstats.com/fighter-details/56fcb2c4d99f9d1b
Saidyokub Kakhramonov,2.05,51%,0.88,58%,6.63,48%,83%,1.9,http://www.ufcstats.com/fighter-details/50a28b9f8314e008
Mads Burnell,1.28,41%,2.71,51%,3.45,47%,22%,0.4,http://www.ufcstats.com/fighter-details/69f01b25dfabaf6b
Christopher Lopez,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/5148a665aa527865
Gadzhi Omargadzhiev,1.80,39%,2.20,39%,1.35,30%,60%,0.5,http://www.ufcstats.com/fighter-details/684d3aee255a3d09
Razak Al-Hassan,3.27,39%,3.14,60%,0.65,14%,57%,0.0,http://www.ufcstats.com/fighter-details/38b50fd1e1b5b656
Thanh Le,1.97,40%,1.82,70%,0.00,0%,100%,0.0,http://www.ufcstats.com/fighter-details/882b3f5a0774d575
Carlos Felipe,4.88,45%,5.60,50%,0.00,0%,72%,0.0,http://www.ufcstats.com/fighter-details/a2ea77e974c5889f
Darren Stewart,3.05,45%,3.29,48%,1.75,45%,67%,0.1,http://www.ufcstats.com/fighter-details/a17ad5a5048e8c3f
Kyle Sturgeon,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/d30415ec5e8783cd
Erick Silva,2.50,48%,4.18,49%,0.85,35%,56%,1.4,http://www.ufcstats.com/fighter-details/5866fc86183a9fb8
Dave Herman,4.98,60%,3.78,48%,1.49,100%,58%,0.0,http://www.ufcstats.com/fighter-details/cbd6f1abf955e628
Adrienna Jenkins,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/dae85a6a83f53215
OJ Dominguez,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/1a50e734bb54861a
Todd Butler,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/3fed746acfd026dd
Filip Pejic,0.00,0%,0.88,33%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/38ed5a2299230227
Jordan Parsons,3.29,40%,2.37,60%,1.54,21%,50%,1.0,http://www.ufcstats.com/fighter-details/8b2a18d3c6735083
Nathaniel Wood,5.75,51%,4.00,56%,1.56,48%,72%,0.5,http://www.ufcstats.com/fighter-details/329e403448756217
John Dowdy,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/e780ccc79a209985
Daniel Puder,2.77,68%,1.17,38%,1.21,50%,81%,9.0,http://www.ufcstats.com/fighter-details/66e0a70352fef46a
Mateusz Rebecki,4.70,48%,4.13,54%,3.84,75%,45%,0.8,http://www.ufcstats.com/fighter-details/849c5d9979df5357
Windri Patilima,0.31,50%,7.64,31%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/66d42e9503fa108e
Denis Tiuliulin,3.61,41%,5.23,38%,0.96,42%,72%,0.0,http://www.ufcstats.com/fighter-details/0112352cb32f5026
Shaun Etchell,0.00,0%,0.00,0%,4.37,100%,100%,0.0,http://www.ufcstats.com/fighter-details/ea9bfe9c25037bba
Manny Vazquez,1.47,41%,2.67,48%,1.00,33%,0%,1.0,http://www.ufcstats.com/fighter-details/8d4d25fd9218860b
Adriano Santos,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/c6e6926a81adcd00
Bobby Nash,3.42,37%,3.95,51%,2.37,33%,100%,1.6,http://www.ufcstats.com/fighter-details/7dfb56f24fe5ddea
Dmitrii Smoliakov,1.44,42%,3.81,55%,0.00,0%,75%,0.0,http://www.ufcstats.com/fighter-details/75afb06215a07341
Anna Elmose,3.68,49%,4.64,56%,0.00,0%,33%,0.0,http://www.ufcstats.com/fighter-details/1536a25e16fc299b
Antonio Braga Neto,1.36,33%,3.92,45%,3.07,37%,0%,0.5,http://www.ufcstats.com/fighter-details/fae67903c4fe636b
Yoshihisa Yamamoto,1.65,38%,3.05,53%,1.00,20%,50%,0.6,http://www.ufcstats.com/fighter-details/eed2b71d77d95416
Alexandru Lungu,3.61,66%,7.22,40%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/4887e5bc4dbb73ff
Masutatsu Yano,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/d56caaa5e123f518
Patrick Murphy,3.40,66%,0.80,42%,0.00,0%,50%,1.0,http://www.ufcstats.com/fighter-details/eca7e064746c161a
Chuck O'Neil,3.13,37%,4.40,72%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/56bc9ccb609df534
Tatsuya Saika,6.67,44%,9.91,43%,0.00,0%,66%,0.0,http://www.ufcstats.com/fighter-details/cc4e571964b084d4
Jerron Peoples,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/a2ac473d74eb157c
Soichi Nishida,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/6810d8d2dd557cf9
David Baron,1.17,30%,2.10,56%,0.00,0%,14%,0.7,http://www.ufcstats.com/fighter-details/80c0bed43da0e27b
Damien Brown,3.66,38%,4.86,50%,0.68,27%,53%,0.7,http://www.ufcstats.com/fighter-details/d024ed963e8bf7ea
Heraldo Souza,1.62,33%,1.62,50%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/22b43be04d7454d0
Pedro Rizzo,1.93,34%,3.02,50%,0.26,28%,78%,0.0,http://www.ufcstats.com/fighter-details/b44f39a5c6596953
Alejandro Flores,3.66,40%,2.02,54%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/d23d5960ac5e117c
Lando Vannata,4.52,45%,4.76,55%,1.09,37%,69%,0.3,http://www.ufcstats.com/fighter-details/f9b200db02b488d9
Steven Peterson,4.76,40%,5.94,53%,1.42,26%,64%,0.7,http://www.ufcstats.com/fighter-details/b93c06d09d1c4ac0
TJ Dillashaw,5.09,41%,3.47,62%,1.56,30%,77%,0.8,http://www.ufcstats.com/fighter-details/c849740a3ff51931
Claudia Leite,1.27,47%,1.73,57%,1.00,25%,0%,1.0,http://www.ufcstats.com/fighter-details/90550a08f0b02b6f
Adrian Diaz,0.48,42%,3.84,51%,2.40,50%,0%,0.0,http://www.ufcstats.com/fighter-details/bfa8f263815cfa2e
Myktybek Orolbai,3.42,48%,3.39,49%,5.36,43%,40%,0.4,http://www.ufcstats.com/fighter-details/bf2c8e01b07d3eb1
Alan Patrick,1.82,40%,2.95,43%,3.01,33%,43%,0.3,http://www.ufcstats.com/fighter-details/cd7763bcadb5d4c8
James Vick,4.13,39%,3.31,60%,0.26,33%,57%,0.7,http://www.ufcstats.com/fighter-details/6256b2b1562cb8e1
Christian Ocon,1.73,53%,5.27,34%,0.00,0%,63%,0.0,http://www.ufcstats.com/fighter-details/2d6d6ffe5a446ea2
Kyle Watson,3.67,35%,3.25,62%,0.00,0%,100%,0.0,http://www.ufcstats.com/fighter-details/d7b2c0b53883ee80
Yan Qihui,4.38,46%,5.06,54%,3.68,69%,62%,0.0,http://www.ufcstats.com/fighter-details/5c9c2e247c836b67
Andreas Gustafsson,4.56,77%,3.12,43%,3.60,66%,100%,0.0,http://www.ufcstats.com/fighter-details/2caf993f53541fa1
Bevon Lewis,3.73,43%,2.67,54%,0.00,0%,66%,0.0,http://www.ufcstats.com/fighter-details/899923ff6ab13917
Ryo Kawamura,0.60,16%,3.93,39%,0.00,0%,6%,0.0,http://www.ufcstats.com/fighter-details/9e91d7fd2720e241
Max Mustaki,8.20,50%,13.00,45%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/f4c40f8a64d3151d
Dylan Andrews,2.21,50%,2.72,46%,2.83,50%,57%,0.4,http://www.ufcstats.com/fighter-details/00debc804e2b1cd4
Gregor Gillespie,3.74,52%,2.30,57%,6.86,48%,100%,0.8,http://www.ufcstats.com/fighter-details/84ff027394f7e470
Logan Woods,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/133a9d2e6efd8a50
Royston Wee,1.10,60%,2.45,49%,3.38,81%,0%,0.0,http://www.ufcstats.com/fighter-details/b9c03e7a4557e542
Mick Parkin,4.91,52%,4.15,58%,1.49,41%,50%,0.3,http://www.ufcstats.com/fighter-details/0d5cc0170c1a7e71
Brian Melancon,4.18,49%,3.64,64%,2.02,100%,66%,0.0,http://www.ufcstats.com/fighter-details/eee7dafac7d672b5
Felipe Arantes,2.37,45%,2.66,64%,0.93,47%,41%,0.7,http://www.ufcstats.com/fighter-details/71002dbc1743b9a7
Sterling Ford,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/a71ce6ff0b4a9dbb
Omari Akhmedov,2.97,34%,2.84,55%,2.58,45%,65%,0.2,http://www.ufcstats.com/fighter-details/16690d100f995f8f
Rodolfo Bellato,6.28,62%,6.31,46%,1.06,30%,100%,0.3,http://www.ufcstats.com/fighter-details/69898645d600abdb
Dennis Dombrow,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/4145caa2c999fbac
Kier Gooch,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/1bda4867f1baceac
Damir Hadzovic,3.34,47%,3.74,59%,0.91,54%,34%,0.1,http://www.ufcstats.com/fighter-details/38c626ca912c7bac
Eddie Sanchez,3.45,43%,3.30,43%,1.13,26%,42%,0.0,http://www.ufcstats.com/fighter-details/7f0b4a75ef3039a3
Josh Bumgarner,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/9900ab86a4c458bd
Shane Carwin,4.38,47%,3.53,53%,1.42,33%,42%,0.0,http://www.ufcstats.com/fighter-details/68dd7b3783c19f9c
Hannah Goldy,5.19,47%,4.67,50%,0.66,12%,54%,0.2,http://www.ufcstats.com/fighter-details/26e3f3928b1891d9
Justin Scoggins,3.56,51%,2.16,55%,3.42,63%,82%,0.5,http://www.ufcstats.com/fighter-details/9fa568ad2bf2cb0b
Tatiana Suarez,3.22,61%,1.58,47%,4.65,47%,80%,0.7,http://www.ufcstats.com/fighter-details/b08012bbe542592a
Geronimo dos Santos,1.09,33%,8.73,41%,0.00,0%,33%,0.0,http://www.ufcstats.com/fighter-details/b51f6791c794e289
Chris Weidman,3.11,45%,3.37,51%,3.27,42%,72%,0.8,http://www.ufcstats.com/fighter-details/3a8176e15b9887c1
Brian Kelleher,3.31,41%,4.59,54%,1.68,41%,60%,0.7,http://www.ufcstats.com/fighter-details/7be14eaed4c74856
Damian Stasiak,1.86,36%,3.10,52%,2.64,35%,43%,0.6,http://www.ufcstats.com/fighter-details/42a7e90605df3c8a
Antony Rea,2.89,28%,5.42,42%,0.00,0%,100%,0.0,http://www.ufcstats.com/fighter-details/c36e1f4fa755ffb4
Davi Ramos,2.64,37%,3.44,56%,1.95,40%,83%,0.6,http://www.ufcstats.com/fighter-details/0052de90691d4a93
Rob Yundt,1.37,41%,2.55,31%,2.94,100%,0%,0.0,http://www.ufcstats.com/fighter-details/42078a86d3dd037b
Craig Zellner,0.61,9%,4.65,61%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/3794e5e0bb0defb6
Philip Perez,1.36,100%,0.68,66%,10.23,100%,0%,10.2,http://www.ufcstats.com/fighter-details/eee8efec7b951d84
Tom Breese,3.34,50%,2.81,60%,0.00,0%,70%,1.1,http://www.ufcstats.com/fighter-details/1588b787bda7b540
Livinha Souza,1.75,45%,3.60,56%,2.54,45%,40%,1.4,http://www.ufcstats.com/fighter-details/dab8cfbb6b1db10a
Mark Godbeer,3.97,53%,3.30,54%,0.00,0%,28%,0.0,http://www.ufcstats.com/fighter-details/ad56b3f00ca38dfd
Ruben Villareal,5.18,53%,4.86,35%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/39f68882def7a507
Olivier Murad,2.60,36%,2.20,61%,1.00,100%,55%,0.0,http://www.ufcstats.com/fighter-details/c3dd69333eb8085a
Ben Askren,3.64,49%,5.66,36%,4.33,55%,0%,0.9,http://www.ufcstats.com/fighter-details/0b31f87be71ebbb1
Derrick Krantz,2.07,37%,4.03,50%,3.18,50%,0%,0.8,http://www.ufcstats.com/fighter-details/714e1e0681ddb703
Brock Larson,1.39,46%,1.50,55%,2.67,34%,43%,2.0,http://www.ufcstats.com/fighter-details/5eedbf1e9601be35
Victor Madrigal,2.31,38%,9.56,50%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/cc63a5f0089d8ba9
Scott Harper,1.30,54%,4.98,47%,3.25,100%,0%,0.0,http://www.ufcstats.com/fighter-details/14a433bccba87016
Rene Kronvold,0.82,100%,2.47,60%,0.00,0%,66%,4.1,http://www.ufcstats.com/fighter-details/db05271715bb4874
Jan Nortje,3.32,51%,4.50,32%,0.00,0%,66%,2.9,http://www.ufcstats.com/fighter-details/bd4389b71fdc0ce2
Chris Heatherly,1.08,45%,2.67,52%,3.39,50%,100%,0.7,http://www.ufcstats.com/fighter-details/bad8be5827ea1bf1
Gilbert Urbina,5.61,57%,4.61,44%,3.01,44%,0%,0.8,http://www.ufcstats.com/fighter-details/b12fb759e02378de
Ryan Couture,3.54,45%,2.87,54%,1.55,29%,46%,1.3,http://www.ufcstats.com/fighter-details/46fd223e3ced39b3
Arlene Blencowe,2.31,43%,2.10,43%,0.00,0%,55%,0.6,http://www.ufcstats.com/fighter-details/35d6337320a4ae48
Paul Buentello,3.29,45%,3.83,52%,0.19,33%,39%,0.4,http://www.ufcstats.com/fighter-details/f0abbb6f3444dae7
Chidi Njokuani,4.59,63%,2.67,56%,0.00,0%,74%,0.2,http://www.ufcstats.com/fighter-details/c68c68efaa5ca6ef
Marcus Aurelio,1.42,33%,2.27,59%,1.69,27%,27%,1.3,http://www.ufcstats.com/fighter-details/04643fd03d9159cc
William Knight,2.62,56%,3.30,35%,1.78,40%,48%,0.4,http://www.ufcstats.com/fighter-details/5da33b8fbfa5ee95
Carlos Newton,0.65,41%,1.55,44%,2.47,70%,43%,0.9,http://www.ufcstats.com/fighter-details/952f6fa06f25a0ec
Israel Adesanya,4.02,48%,3.20,55%,0.05,11%,76%,0.1,http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e
Steve Hadsel,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/99793cf88c5adeee
Tyler Toner,2.95,52%,2.13,62%,0.00,0%,54%,0.4,http://www.ufcstats.com/fighter-details/8e893f269d5696b2
Ian Machado Garry,4.72,54%,2.82,51%,0.74,54%,73%,0.5,http://www.ufcstats.com/fighter-details/442c9011034ae1fd
Fabiola Pidroni,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/9561eb5f0d63ffcc
Marcos Vinicius,1.93,49%,2.91,47%,0.00,0%,25%,0.5,http://www.ufcstats.com/fighter-details/e363b21261814830
Mark Robinson,0.00,0%,5.80,13%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/4604ab1de9058474
Miguel Cosio,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/d150c6fbdb7687f4
Jason Riley,0.00,0%,9.68,33%,0.00,0%,50%,0.0,http://www.ufcstats.com/fighter-details/995af04c697d78b7
Albert Cheng,1.00,41%,2.60,71%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/d8d7b24d276c8cb0
Coltin Cole,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/cecd72feb0d640e3
Ricky Steele,4.07,70%,2.93,50%,0.00,0%,91%,0.0,http://www.ufcstats.com/fighter-details/09a6ed4ee97a5606
Anthony Hamilton,3.91,65%,3.02,45%,2.62,42%,78%,0.0,http://www.ufcstats.com/fighter-details/c727c7d31c50c4cf
Charalampos Grigoriou,2.62,48%,3.97,46%,2.62,80%,90%,0.0,http://www.ufcstats.com/fighter-details/68b8ebdfce9dbb61
Ashkan Mokhtarian,1.95,43%,3.66,43%,0.54,16%,33%,0.0,http://www.ufcstats.com/fighter-details/e9bc5748e6a76bb6
Garrett Gross,2.39,45%,1.67,46%,0.00,0%,52%,0.0,http://www.ufcstats.com/fighter-details/6741218640534d8b
Pat Schilling,1.87,26%,8.24,52%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/de12bd65e2f46478
HyunSung Park,4.15,44%,3.43,59%,1.54,27%,100%,2.6,http://www.ufcstats.com/fighter-details/b671bdf981ad527d
Jocelyn Jones-Lybarger,2.96,31%,4.83,56%,0.34,25%,81%,0.0,http://www.ufcstats.com/fighter-details/1a98c9dbb7fc3959
Humberto Bandenay,2.22,41%,4.79,41%,2.90,46%,62%,0.5,http://www.ufcstats.com/fighter-details/2c2caf2f2bab9df5
Enrique Marin,1.43,33%,3.00,50%,2.50,38%,60%,1.0,http://www.ufcstats.com/fighter-details/23a6e307077c6ccc
Elias Urbina,3.85,37%,6.17,50%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/47fcdcaccb58ca80
Issa Isakov,1.93,36%,5.78,40%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/e9095aeb36f2aeb8
Rob Emerson,2.50,30%,2.83,64%,2.02,52%,65%,0.4,http://www.ufcstats.com/fighter-details/dc0f07928009a127
Mohamed Ado,1.66,83%,0.33,75%,4.97,50%,50%,5.0,http://www.ufcstats.com/fighter-details/7a846fcbf182a7c8
Raheam Forest,5.32,38%,12.15,42%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/90390dd1b0791e7f
Kailin Curran,3.89,43%,4.75,53%,2.00,57%,61%,0.6,http://www.ufcstats.com/fighter-details/05b43e0ead3df345
Lucas Lopes,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/1f70dd67ad507990
Ryo Chonan,2.57,43%,2.25,60%,0.61,41%,39%,0.3,http://www.ufcstats.com/fighter-details/55a7b2d4e54ffac9
John Dodson,3.20,40%,3.58,61%,0.71,28%,82%,0.0,http://www.ufcstats.com/fighter-details/99506df1af6c8b3b
Matthieu Duclos,3.93,37%,6.81,46%,0.00,0%,100%,0.0,http://www.ufcstats.com/fighter-details/ec322adbabbfa6e7
Jae Suk Lim,2.43,50%,4.05,37%,12.16,100%,100%,0.0,http://www.ufcstats.com/fighter-details/bbb15f301e4a490a
Davey Grant,5.25,44%,3.89,55%,1.14,40%,61%,0.2,http://www.ufcstats.com/fighter-details/113df4fde64735c6
Kyle Noblitt,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/4acf03bdec2025d7
Christian Wellisch,3.12,27%,3.04,56%,1.22,42%,45%,1.2,http://www.ufcstats.com/fighter-details/f1b2a4365799c48b
Rafael  Del Real,5.58,40%,0.00,0%,20.93,100%,100%,0.0,http://www.ufcstats.com/fighter-details/e82b2adcaeff71ec
Shonie Carter,1.62,36%,2.32,47%,0.75,66%,75%,0.0,http://www.ufcstats.com/fighter-details/7b6e40a73b567072
William Gomis,2.69,50%,1.60,71%,0.78,37%,70%,0.5,http://www.ufcstats.com/fighter-details/e1d40e8782d80bc2
Neil Wain,2.64,50%,8.57,43%,0.00,0%,50%,0.0,http://www.ufcstats.com/fighter-details/6b7bc7eaf2465387
Nikita Krylov,4.38,55%,2.47,44%,2.29,38%,53%,1.4,http://www.ufcstats.com/fighter-details/1091d4d957141094
James Moontasri,2.39,48%,3.86,40%,0.00,0%,79%,0.2,http://www.ufcstats.com/fighter-details/c06a9b48d4132c8e
Tafon Nchukwi,5.57,52%,4.11,54%,0.76,57%,64%,0.0,http://www.ufcstats.com/fighter-details/6aae253467e8f9ce
Rafael Silva,0.67,50%,0.73,67%,0.00,0%,25%,1.0,http://www.ufcstats.com/fighter-details/a31358d90d4bb40a
Herman Terrado,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/61d6368013f8637f
Eric Schambari,1.43,42%,1.07,54%,3.00,42%,0%,1.0,http://www.ufcstats.com/fighter-details/66e981516e2476d1
Izabela Badurek,3.74,71%,4.90,32%,1.75,12%,100%,0.0,http://www.ufcstats.com/fighter-details/4fcf6e0c4e0e6664
Valeri Ignatov,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/7b6ce3a9460565b5
