first_name,last_name,height_cm,weight_pounds,reach_cm,stance,date_of_birth,f_wins,f_losses,f_draws,f_dc_nc,fighter_url
Luke,Riley,NULL,145,NULL,NULL,1999-06-30,9,0,0,NULL,http://www.ufcstats.com/fighter-details/b1de86d835638319
Jamie,Mullarkey,182.88,155,187.96,Orthodox,1994-08-17,17,8,0,NULL,http://www.ufcstats.com/fighter-details/af9f42e6894047fc
Paul,Rodriguez,170.18,155,NULL,Orthodox,NULL,10,9,2,NULL,http://www.ufcstats.com/fighter-details/26eddcda9d6b2ffe
Bryan,Vetell,190.5,265,NULL,Southpaw,1977-07-26,4,3,0,NULL,http://www.ufcstats.com/fighter-details/13a0fb8fbdafb54f
George,Zuniga,175.26,185,NULL,NULL,NULL,3,1,0,NULL,http://www.ufcstats.com/fighter-details/1291dd6b8ab4d952
Mike,Bencic,182.88,215,NULL,Orthodox,NULL,1,2,0,NULL,http://www.ufcstats.com/fighter-details/a71feb7ea7592a71
Josh,Sampo,162.56,125,162.56,Orthodox,1984-07-24,11,5,0,NULL,http://www.ufcstats.com/fighter-details/f65dcb22dada2223
Luigi,Vendramini,172.72,155,185.42,Orthodox,1996-01-16,9,3,0,NULL,http://www.ufcstats.com/fighter-details/2f1a257d6777096d
Yuma,Horiuchi,167.64000000000001,125,170.18,Switch,1997-09-22,9,5,0,NULL,http://www.ufcstats.com/fighter-details/f6c1ce7cfd600662
Eduardo,Neves,187.96,263,198.12,Orthodox,2000-03-16,7,2,0,NULL,http://www.ufcstats.com/fighter-details/1d688fa375d9431c
John,Lewis,182.88,155,NULL,Southpaw,NULL,3,4,3,NULL,http://www.ufcstats.com/fighter-details/4a01dc8376736ef5
Gustavo,Lopez,165.1,135,170.18,Orthodox,1989-06-27,12,6,1,NULL,http://www.ufcstats.com/fighter-details/93b62c5f2ba18e51
Juan,Mott,182.88,190,NULL,Switch,NULL,3,4,0,NULL,http://www.ufcstats.com/fighter-details/5da4e8dc02e50ac0
Paul,Sass,182.88,155,185.42,Orthodox,1988-08-04,14,2,0,NULL,http://www.ufcstats.com/fighter-details/7b143a54451263d9
War,Machine,180.34,170,NULL,Orthodox,1981-11-30,14,5,0,NULL,http://www.ufcstats.com/fighter-details/cd7bafbeee1f29a0
Patrick,Cummins,187.96,205,193.04,Orthodox,1980-11-16,10,7,0,NULL,http://www.ufcstats.com/fighter-details/e51e5cb722bd47a8
Tor,Troeng,187.96,185,NULL,Orthodox,1983-01-25,16,7,1,NULL,http://www.ufcstats.com/fighter-details/8abf70f79e9e27c2
Josh,Wick,175.26,155,175.26,Switch,1994-10-04,12,6,0,NULL,http://www.ufcstats.com/fighter-details/13935768cf8aeb86
Colton,Smith,182.88,155,180.34,Orthodox,1987-08-14,7,4,0,NULL,http://www.ufcstats.com/fighter-details/2e25c1d983c26311
Henry,Corrales,175.26,145,NULL,NULL,NULL,13,3,0,NULL,http://www.ufcstats.com/fighter-details/7cb0946d51b8cde7
Jarno,Errens,180.34,145,185.42,Orthodox,1994-11-17,14,6,1,NULL,http://www.ufcstats.com/fighter-details/082eba4cd80f736f
Adam,Piccolotti,180.34,155,NULL,NULL,1988-10-23,9,0,0,NULL,http://www.ufcstats.com/fighter-details/fa399f7f6e17f7f5
Allen,Crowder,190.5,245,193.04,Orthodox,1989-11-08,10,4,0,1,http://www.ufcstats.com/fighter-details/a9d6e047ce48ab63
Aleksa,Camur,185.42,205,187.96,Orthodox,1995-09-25,6,3,0,NULL,http://www.ufcstats.com/fighter-details/c2a670b22d2e196f
Crezio,Souza,NULL,170,NULL,Orthodox,NULL,1,2,0,NULL,http://www.ufcstats.com/fighter-details/3746e21bb508391a
Virna,Jandiroba,160.02,115,162.56,Orthodox,1988-05-30,21,3,0,NULL,http://www.ufcstats.com/fighter-details/7dda2cf308f24a02
Syuri,Kondo,162.56,115,167.64,Orthodox,1989-02-08,6,3,0,NULL,http://www.ufcstats.com/fighter-details/a851c35f58199231
Kenji,Osawa,170.18,135,167.64,Orthodox,1976-11-04,20,11,2,NULL,http://www.ufcstats.com/fighter-details/8eb239a52fc4ec14
Alejandro,Perez,167.64000000000001,135,170.18,Orthodox,1989-09-02,23,9,1,NULL,http://www.ufcstats.com/fighter-details/80daefbed11ce998
Dwight,Grant,185.42,185,193.04,Switch,1984-09-14,11,6,0,NULL,http://www.ufcstats.com/fighter-details/8be158ca1e5ea6a0
Kazuyuki,Fujita,182.88,235,NULL,Orthodox,1970-10-16,15,12,0,NULL,http://www.ufcstats.com/fighter-details/b1605ea39fba6af6
Veta,Arteaga,170.18,125,NULL,NULL,NULL,3,1,0,NULL,http://www.ufcstats.com/fighter-details/91e3388e69060e69
Brandon,Melendez,180.34,155,NULL,Southpaw,1983-03-24,25,25,0,NULL,http://www.ufcstats.com/fighter-details/2b06b6ad5db63348
Mark,Dickman,175.26,145,NULL,NULL,1984-07-19,11,3,0,NULL,http://www.ufcstats.com/fighter-details/2482ef3331a82e75
Marcos,Bonilla,177.8,145,NULL,NULL,NULL,4,4,0,NULL,http://www.ufcstats.com/fighter-details/d311fbefff44a39b
Sean,Strickland,185.42,185,193.04,Orthodox,1991-02-27,29,7,0,NULL,http://www.ufcstats.com/fighter-details/0d8011111be000b2
Jared,Hamman,190.5,185,190.5,Orthodox,1982-03-07,14,6,0,NULL,http://www.ufcstats.com/fighter-details/23459ee7e373b98f
Pat,Benson,175.26,155,NULL,NULL,NULL,3,5,3,NULL,http://www.ufcstats.com/fighter-details/a25f3dc0df974597
Herbert,Burns,175.26,145,185.42,Orthodox,1988-02-02,11,6,0,NULL,http://www.ufcstats.com/fighter-details/4f140403000158b5
Sanae,Kikuta,175.26,200,NULL,Orthodox,1971-09-10,31,9,3,1,http://www.ufcstats.com/fighter-details/e4bde462b043d3e1
Todd,Medina,177.8,193,NULL,Southpaw,NULL,11,9,0,1,http://www.ufcstats.com/fighter-details/b60391da771deefe
Aaron,Tau,162.56,135,167.64,Switch,1993-08-21,8,1,0,NULL,http://www.ufcstats.com/fighter-details/7abf7f8778472b7b
Amanda,Lemos,162.56,115,165.1,Southpaw,1987-05-22,14,4,1,NULL,http://www.ufcstats.com/fighter-details/3df5493bb279226f
Scott,Smith,182.88,185,177.8,Orthodox,1979-05-21,18,11,0,1,http://www.ufcstats.com/fighter-details/3410cf010558dc8b
Mike,Rio,177.8,155,177.8,Orthodox,1981-07-06,10,5,0,NULL,http://www.ufcstats.com/fighter-details/af90b10c785ced3e
Falaniko,Vitale,177.8,185,NULL,Orthodox,1974-07-14,30,11,0,NULL,http://www.ufcstats.com/fighter-details/445a98acb8985970
Leonard,Garcia,177.8,145,172.72,Orthodox,1979-07-14,18,13,1,NULL,http://www.ufcstats.com/fighter-details/917e53fa0adea0d3
Dong,Yoon,182.88,185,NULL,Orthodox,1972-08-24,9,9,0,NULL,http://www.ufcstats.com/fighter-details/ad99fa5325519169
Logan,Urban,182.88,170,182.88,Orthodox,1994-04-22,5,1,0,1,http://www.ufcstats.com/fighter-details/5e23f30e9c6ed74e
Mizuto,Hirota,170.18,155,170.18,Orthodox,1981-05-05,18,10,2,NULL,http://www.ufcstats.com/fighter-details/35faad160d346839
John,Maguire,175.26,155,175.26,Southpaw,1983-05-19,24,9,0,NULL,http://www.ufcstats.com/fighter-details/1a7745388839e52b
Daniel,Acacio,172.72,180,NULL,Orthodox,1977-12-27,30,18,0,NULL,http://www.ufcstats.com/fighter-details/1c5879330d42255f
Melissa,Mullins,170.18,135,172.72,Orthodox,1991-07-23,7,1,0,NULL,http://www.ufcstats.com/fighter-details/bd532e9a2b93870c
Journey,Newson,165.1,135,170.18,Orthodox,1989-03-07,10,5,0,1,http://www.ufcstats.com/fighter-details/78f485f851891d68
Tito,Jones,172.72,145,NULL,Southpaw,1981-07-31,11,8,0,NULL,http://www.ufcstats.com/fighter-details/7b223a22a6c26868
Dan,Henderson,180.34,185,187.96,Orthodox,1970-08-24,32,15,0,NULL,http://www.ufcstats.com/fighter-details/1ccf4e7caff270df
Waylon,Kennell,182.88,185,NULL,NULL,NULL,6,2,0,NULL,http://www.ufcstats.com/fighter-details/9b8a73b59be8d786
Steve,Lopez,180.34,155,NULL,Orthodox,1984-07-30,13,6,1,NULL,http://www.ufcstats.com/fighter-details/6085ceb59087514b
Ivan,Erslan,187.96,205,182.88,Orthodox,1991-11-15,14,4,0,1,http://www.ufcstats.com/fighter-details/64ad3e3b0efa30bb
Joselyne,Edwards,172.72,135,177.8,Orthodox,1995-09-29,14,6,0,NULL,http://www.ufcstats.com/fighter-details/f9ab66e67240db7b
Jeff,Hougland,170.18,135,172.72,Orthodox,1978-08-02,10,6,0,NULL,http://www.ufcstats.com/fighter-details/97a8f39186f489db
Sean,Loeffler,190.5,185,NULL,Orthodox,1982-05-23,31,5,0,NULL,http://www.ufcstats.com/fighter-details/d3d1ff3f3dfa0931
Shunichi,Shimizu,165.1,135,NULL,Orthodox,1985-01-31,30,18,1,1,http://www.ufcstats.com/fighter-details/10657c60ce349e0f
Carlos,Hernandez,172.72,125,170.18,Orthodox,1993-10-25,10,4,0,NULL,http://www.ufcstats.com/fighter-details/798e48f9e7f6ba22
Frank,Lester,180.34,170,NULL,Orthodox,1984-06-10,11,6,0,1,http://www.ufcstats.com/fighter-details/edd8d5d8089a35f8
Mark,Vorgeas,177.8,135,NULL,NULL,NULL,5,3,1,NULL,http://www.ufcstats.com/fighter-details/ef0344ed552d8a22
Mike,Kyle,193.04,205,195.58,Orthodox,1980-03-31,22,14,1,2,http://www.ufcstats.com/fighter-details/56b8b24f65f9f057
Francesco,Maturi,NULL,NULL,NULL,NULL,NULL,0,1,0,NULL,http://www.ufcstats.com/fighter-details/d3b5ad3b15a64a18
Liana,Jojua,162.56,125,157.48,Orthodox,1995-03-22,8,5,0,NULL,http://www.ufcstats.com/fighter-details/eebc23626e38f5dc
Rinat,Fakhretdinov,182.88,170,187.96,Orthodox,1991-09-28,23,1,1,NULL,http://www.ufcstats.com/fighter-details/8f765fd5775a8873
Adam,Hunter,185.42,185,NULL,Orthodox,1983-10-16,7,1,0,NULL,http://www.ufcstats.com/fighter-details/edc9eb3051f444fa
Ernesta,Kareckaite,175.26,125,180.34,Orthodox,1998-07-05,6,1,1,NULL,http://www.ufcstats.com/fighter-details/e4faa79383c9f214
Vagner,Rocha,177.8,155,185.42,Orthodox,1982-06-06,14,4,0,NULL,http://www.ufcstats.com/fighter-details/d403b1a6f278c95e
Colley,Bradford,170.18,145,NULL,NULL,NULL,0,1,0,NULL,http://www.ufcstats.com/fighter-details/1433786ac76cf777
Adam,Meredith,187.96,170,NULL,NULL,NULL,5,3,0,NULL,http://www.ufcstats.com/fighter-details/c1135a6892e916db
Johnny,Sampaio,172.72,170,NULL,Orthodox,1975-09-11,3,1,0,NULL,http://www.ufcstats.com/fighter-details/b23388ff8ac6637b
Logan,Nail,NULL,185,NULL,NULL,1989-06-20,1,1,0,NULL,http://www.ufcstats.com/fighter-details/47e0b5833e6bc91a
Alexander,Volkov,200.66,250,203.2,Orthodox,1988-10-24,38,11,0,NULL,http://www.ufcstats.com/fighter-details/279566840aa55bf2
Ulysses,Gomez,167.64000000000001,125,NULL,Orthodox,1983-05-25,9,5,0,NULL,http://www.ufcstats.com/fighter-details/1e35aa8955794580
Austin,Springer,172.72,145,180.34,Orthodox,1987-05-12,12,4,0,NULL,http://www.ufcstats.com/fighter-details/37cc294027f55e4d
JunYoung,Hong,175.26,145,175.26,Orthodox,1990-12-18,13,8,1,NULL,http://www.ufcstats.com/fighter-details/b24666e26bd750a3
Cody,Garbrandt,172.72,135,165.1,Orthodox,1991-07-07,14,6,0,NULL,http://www.ufcstats.com/fighter-details/d8c7c61b176e3994
Victor,Jones,NULL,145,NULL,NULL,NULL,1,3,0,NULL,http://www.ufcstats.com/fighter-details/04f0471f221db717
Tatsuro,Taira,170.18,125,177.8,Orthodox,2000-01-27,16,1,0,NULL,http://www.ufcstats.com/fighter-details/4461d7e47375a895
David,Velasquez,165.1,145,NULL,Orthodox,NULL,10,10,0,NULL,http://www.ufcstats.com/fighter-details/09c44b317c98bf96
Gary,Padilla,180.34,205,NULL,NULL,1980-05-04,12,6,0,NULL,http://www.ufcstats.com/fighter-details/01dd4cdc2446f665
Mirsad,Bektic,172.72,145,177.8,Orthodox,1991-02-16,13,4,0,NULL,http://www.ufcstats.com/fighter-details/cbd3e590a85b18c5
Kotetsu,Boku,175.26,154,NULL,Orthodox,1977-05-27,25,11,2,NULL,http://www.ufcstats.com/fighter-details/d227958e8a0c1466
Eddy,Millis,185.42,185,NULL,NULL,NULL,0,2,0,NULL,http://www.ufcstats.com/fighter-details/f2c934689243fe4e
Chris,Drumm,172.72,145,NULL,NULL,NULL,0,1,0,1,http://www.ufcstats.com/fighter-details/5fd834edd92c9e50
Nurullo,Aliev,177.8,155,182.88,Orthodox,2000-12-08,10,0,0,NULL,http://www.ufcstats.com/fighter-details/ca28cdf526d6b6e9
Sanford,Meeks,195.57999999999998,265,190.5,Orthodox,1994-04-05,1,1,0,NULL,http://www.ufcstats.com/fighter-details/27c59ac201539d10
Jonavin,Webb,177.8,170,NULL,Orthodox,1989-04-28,9,2,0,1,http://www.ufcstats.com/fighter-details/f40ec51dd4de47c3
Ignacio,Bahamondes,190.5,155,190.5,Orthodox,1997-08-27,16,5,0,NULL,http://www.ufcstats.com/fighter-details/e4a47b07044ddd72
Keith,Jardine,187.96,185,193.04,Orthodox,1975-10-31,17,11,2,NULL,http://www.ufcstats.com/fighter-details/b9d0fd83bb8a147a
Goran,Reljic,190.5,205,205.74,Southpaw,1984-03-20,15,8,0,NULL,http://www.ufcstats.com/fighter-details/132f860d02953f4c
Pannie,Kianzad,170.18,135,167.64,Orthodox,1991-12-08,17,9,0,NULL,http://www.ufcstats.com/fighter-details/91dac5e69e28d5b5
Ronal,Siahaan,170.18,125,180.34,Southpaw,1996-05-05,7,1,0,NULL,http://www.ufcstats.com/fighter-details/762226efa2b01654
Sean,Alvarez,182.88,235,NULL,Orthodox,1971-07-14,4,3,0,NULL,http://www.ufcstats.com/fighter-details/e741536153227386
Cyrille,Diabate,198.12,205,205.74,Southpaw,1973-10-06,19,10,1,NULL,http://www.ufcstats.com/fighter-details/43563a32c3f10e95
Sarah,Alpar,162.56,135,160.02,Southpaw,1991-06-01,9,6,0,NULL,http://www.ufcstats.com/fighter-details/49b130de1da2e1bf
Fernando,Bruno,167.64000000000001,145,NULL,NULL,1982-02-24,15,4,0,NULL,http://www.ufcstats.com/fighter-details/b8c0f30ee9a98b69
Marc,Cofer,NULL,185,NULL,NULL,1972-03-03,7,5,0,NULL,http://www.ufcstats.com/fighter-details/e90d9d0681270953
Ciryl,Gane,193.04,245,205.74,Orthodox,1990-04-12,13,2,0,NULL,http://www.ufcstats.com/fighter-details/787bb1f087ccff8a
Paul,Taylor,182.88,155,182.88,Orthodox,1979-12-15,11,6,1,1,http://www.ufcstats.com/fighter-details/9b74de674c355425
Jordan,Griffin,177.8,145,185.42,Southpaw,1990-02-28,18,9,0,NULL,http://www.ufcstats.com/fighter-details/ebef46976554f975
Junior,Barata,177.8,170,NULL,Orthodox,1982-01-25,9,3,1,NULL,http://www.ufcstats.com/fighter-details/06dced58ca24a6bd
Dan,Miller,185.42,185,187.96,Orthodox,1981-06-30,14,8,0,1,http://www.ufcstats.com/fighter-details/d0c29452d3272603
Serghei,Spivac,190.5,260,198.12,Orthodox,1995-01-24,17,5,0,NULL,http://www.ufcstats.com/fighter-details/e2f6b2769aaedd6c
Amanda,Nunes,172.72,135,175.26,Orthodox,1988-05-30,23,5,0,NULL,http://www.ufcstats.com/fighter-details/80fa8218c99f9c58
Rustam,Khabilov,172.72,155,185.42,Orthodox,1986-11-04,24,4,0,NULL,http://www.ufcstats.com/fighter-details/9b7694d064a8a0ad
Ramon,Taveras,172.72,135,177.8,Southpaw,1994-01-09,10,3,0,NULL,http://www.ufcstats.com/fighter-details/c5ccd878231c5407
Max,Rohskopf,185.42,155,180.34,Orthodox,1994-09-27,5,1,0,NULL,http://www.ufcstats.com/fighter-details/59a27d2e6d0802ac
Roque,Martinez,177.8,250,182.88,Orthodox,1986-03-04,15,8,2,NULL,http://www.ufcstats.com/fighter-details/2c5a0b8317f8f27a
Damon,Jackson,180.34,155,180.34,Switch,1988-08-08,23,8,1,1,http://www.ufcstats.com/fighter-details/29af297d9f1de0f8
Kerry,Schall,187.96,265,NULL,Orthodox,1971-08-09,24,13,0,1,http://www.ufcstats.com/fighter-details/030f08370fd1c2bb
Lee,Higgins,NULL,155,NULL,NULL,1980-07-14,2,1,0,NULL,http://www.ufcstats.com/fighter-details/88432fe79d5091d9
Daniel,Gracie,187.96,225,NULL,Orthodox,NULL,5,4,1,NULL,http://www.ufcstats.com/fighter-details/82d6a9ae41aac3f7
Dione,Barbosa,167.64000000000001,125,167.64,Orthodox,1992-05-08,7,3,0,NULL,http://www.ufcstats.com/fighter-details/27b388f0aab49780
Wes,Shivers,203.2,NULL,NULL,NULL,NULL,7,1,0,NULL,http://www.ufcstats.com/fighter-details/ad863b0d57952c57
Papy,Abedi,180.34,185,NULL,Southpaw,1978-06-30,10,4,0,NULL,http://www.ufcstats.com/fighter-details/c9f6385af6df66d7
Brad,Mitchell,180.34,145,NULL,NULL,1974-10-10,4,2,0,1,http://www.ufcstats.com/fighter-details/7263e0dc082adc87
Brad,Imes,200.66,265,NULL,Orthodox,1977-03-13,13,7,0,NULL,http://www.ufcstats.com/fighter-details/4908c5ee68a50ee5
Kyler,Phillips,172.72,135,182.88,Orthodox,1995-06-12,12,3,0,NULL,http://www.ufcstats.com/fighter-details/60425d07ef4b91a7
Johnny,Walker,198.12,205,208.28,Orthodox,1992-03-30,21,9,0,1,http://www.ufcstats.com/fighter-details/c21f26bbde777573
Blake,Watkins,NULL,185,NULL,NULL,NULL,5,1,0,NULL,http://www.ufcstats.com/fighter-details/117580b232409824
Chibwikem,Onyenegecha,190.5,185,NULL,Orthodox,1994-04-18,5,0,0,NULL,http://www.ufcstats.com/fighter-details/887e09328cd63df1
Alex,Caceres,177.8,145,185.42,Southpaw,1988-06-20,21,15,0,1,http://www.ufcstats.com/fighter-details/7aa3d6964eff4877
LC,Davis,172.72,135,175.26,Southpaw,1980-10-28,23,8,0,NULL,http://www.ufcstats.com/fighter-details/6dab8ce5e4bffe77
Zelim,Imadaev,182.88,170,193.04,Orthodox,1995-01-25,8,3,0,NULL,http://www.ufcstats.com/fighter-details/7f0f171414d0a287
Loma,Lookboonmee,154.94,115,154.94,Orthodox,1996-01-18,9,3,0,NULL,http://www.ufcstats.com/fighter-details/4e30e4250cb08b61
Katlyn,Cerminara,175.26,125,172.72,Orthodox,1988-12-28,18,6,0,NULL,http://www.ufcstats.com/fighter-details/e872e9a9a902c045
Frank,Trigg,175.26,170,180.34,Southpaw,1972-05-07,21,9,0,NULL,http://www.ufcstats.com/fighter-details/d2d37e8eeb3abc8d
David,Abbott,182.88,265,NULL,Switch,NULL,10,15,0,NULL,http://www.ufcstats.com/fighter-details/b361180739bed4b0
Ross,Pearson,172.72,155,175.26,Orthodox,1984-09-26,20,16,0,1,http://www.ufcstats.com/fighter-details/4f732e58ed907eff
Richie,Santiago,170.18,135,170.18,Southpaw,1992-10-10,7,2,0,NULL,http://www.ufcstats.com/fighter-details/9f95d6b5b459cc6b
Matt,Arroyo,177.8,170,182.88,Orthodox,1982-09-01,3,3,0,NULL,http://www.ufcstats.com/fighter-details/de62052b2ede65ba
Niklas,Backstrom,185.42,145,NULL,Orthodox,1989-08-22,11,3,0,1,http://www.ufcstats.com/fighter-details/39cc64bf0a269db9
Waylon,Lowe,170.18,145,NULL,Southpaw,1980-10-31,16,7,0,2,http://www.ufcstats.com/fighter-details/28f62d866c59c709
Eric,Schwartz,NULL,205,NULL,NULL,NULL,2,0,0,NULL,http://www.ufcstats.com/fighter-details/79cbdf233e5e0496
Maiara,Santos,165.1,115,NULL,Southpaw,1987-07-11,7,3,0,NULL,http://www.ufcstats.com/fighter-details/247fbbfafea60bb1
Jessica,Rakoczy,170.18,115,NULL,Orthodox,1977-04-14,1,5,0,1,http://www.ufcstats.com/fighter-details/ffdeb4fbea09ce75
Tecia,Pennington,154.94,115,152.4,Orthodox,1989-08-16,14,7,0,NULL,http://www.ufcstats.com/fighter-details/31ef8b67e13495b3
Chris,Cariaso,160.02,125,162.56,Southpaw,1981-05-27,17,8,0,NULL,http://www.ufcstats.com/fighter-details/b2e3aca4cd363477
Wu,Yanan,172.72,135,167.64,Orthodox,1996-04-18,13,6,0,NULL,http://www.ufcstats.com/fighter-details/fdbefee0827e1567
Scott,Askham,190.5,185,190.5,Southpaw,1988-05-20,14,4,0,NULL,http://www.ufcstats.com/fighter-details/06827d70c53ff0d9
Duane,Ludwig,177.8,170,177.8,Orthodox,1978-08-04,21,14,0,NULL,http://www.ufcstats.com/fighter-details/84ac950d4c1722dd
Xavier,Foupa-Pokam,185.42,185,NULL,Open Stance,1982-07-03,32,22,0,NULL,http://www.ufcstats.com/fighter-details/ec33146e43e58933
Ryan,Jensen,185.42,185,193.04,Orthodox,1977-09-20,21,8,0,NULL,http://www.ufcstats.com/fighter-details/aae99701b21554e4
Alex,Silva,172.72,155,185.42,Orthodox,1996-02-04,21,4,0,NULL,http://www.ufcstats.com/fighter-details/c3ded6f7155f9ea4
Fatima,Kline,167.64000000000001,115,170.18,Orthodox,2000-07-12,7,1,0,NULL,http://www.ufcstats.com/fighter-details/745fa7b605f8e2da
Darian,Weeks,180.34,170,182.88,Orthodox,1993-11-23,5,3,0,NULL,http://www.ufcstats.com/fighter-details/326a001926ffb7ec
Chris,Liguori,175.26,185,NULL,Orthodox,NULL,15,10,0,NULL,http://www.ufcstats.com/fighter-details/0e31bfd26cc8c503
Rainy,Martinez,182.88,199,NULL,Orthodox,NULL,0,2,0,NULL,http://www.ufcstats.com/fighter-details/577ec7e108b94be3
Collin,Huckbody,190.5,185,193.04,Orthodox,1994-09-29,8,2,0,NULL,http://www.ufcstats.com/fighter-details/f372a848d250e006
Roger,Huerta,175.26,155,177.8,Orthodox,1983-05-20,23,9,1,1,http://www.ufcstats.com/fighter-details/daf1b84aebd6602b
Barb,Honchak,162.56,125,165.1,Orthodox,1979-08-30,10,4,0,NULL,http://www.ufcstats.com/fighter-details/472f6f6e6d962f40
Jeremy,Kimball,182.88,205,182.88,Switch,1991-01-03,15,8,0,NULL,http://www.ufcstats.com/fighter-details/917a5cb9821df261
Nick,Meregali,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,http://www.ufcstats.com/fighter-details/2f6dc878d653c442
Derek,Bohi,193.04,260,NULL,NULL,NULL,8,5,0,NULL,http://www.ufcstats.com/fighter-details/70a1c7626b5e0599
